,School Year,LEA (District or Charter),School Name,Subject Area,Percent Proficient,scc_links,fax,name,level,url,school,phone,address,sub-links,sub-links-count,scc_links-count,total
3,2016,ALPINE DISTRICT,ALPINE ONLINE SCHOOL,English Language Arts,0.387387387387,,,,,,,,,,,,
4,2016,ALPINE DISTRICT,ALPINE ONLINE SCHOOL,Mathematics,0.353982300885,,,,,,,,,,,,
5,2016,ALPINE DISTRICT,ALPINE ONLINE SCHOOL,Science,0.358974358974,,,,,,,,,,,,
6,2016,ALPINE DISTRICT,ALPINE SCHOOL,English Language Arts,0.601671309192,"[u'https://alpine.alpineschools.org/school-community-council/scc-who-we-are/', u'https://alpine.alpineschools.org/school-community-council/', u'http://alpine.alpineschools.org/wp-content/uploads/sites/2/2015/11/SchoolCommunityCouncil2015-2016.pdf']",Fax: 801-756-8527,Alpine Elementary,elementary,https://alpine.alpineschools.org/,Alpine Elementary,Phone: 801-610-8700,"400 East 300 North Alpine, UT 84004","[u'http://alpine.alpineschools.org/wp-content/uploads/sites/2/2016/12/Alpine-PDF.pdf', u'https://alpine.alpineschools.org/school-info/school-report-card/']",2.0,3.0,5.0
7,2016,ALPINE DISTRICT,ALPINE SCHOOL,Mathematics,0.638888888889,"[u'https://alpine.alpineschools.org/school-community-council/scc-who-we-are/', u'https://alpine.alpineschools.org/school-community-council/', u'http://alpine.alpineschools.org/wp-content/uploads/sites/2/2015/11/SchoolCommunityCouncil2015-2016.pdf']",Fax: 801-756-8527,Alpine Elementary,elementary,https://alpine.alpineschools.org/,Alpine Elementary,Phone: 801-610-8700,"400 East 300 North Alpine, UT 84004","[u'http://alpine.alpineschools.org/wp-content/uploads/sites/2/2016/12/Alpine-PDF.pdf', u'https://alpine.alpineschools.org/school-info/school-report-card/']",2.0,3.0,5.0
8,2016,ALPINE DISTRICT,ALPINE SCHOOL,Science,0.670682730924,"[u'https://alpine.alpineschools.org/school-community-council/scc-who-we-are/', u'https://alpine.alpineschools.org/school-community-council/', u'http://alpine.alpineschools.org/wp-content/uploads/sites/2/2015/11/SchoolCommunityCouncil2015-2016.pdf']",Fax: 801-756-8527,Alpine Elementary,elementary,https://alpine.alpineschools.org/,Alpine Elementary,Phone: 801-610-8700,"400 East 300 North Alpine, UT 84004","[u'http://alpine.alpineschools.org/wp-content/uploads/sites/2/2016/12/Alpine-PDF.pdf', u'https://alpine.alpineschools.org/school-info/school-report-card/']",2.0,3.0,5.0
9,2016,ALPINE DISTRICT,AMERICAN FORK HIGH,English Language Arts,0.44119646499,"[u'https://afhs.alpineschools.org/school-community-council/', u'http://afhsactivities.weebly.com/']",,American Fork High,high,https://afhs.alpineschools.org/,American Fork,,,"[u'https://drive.google.com/file/d/0B_OM-nZ4_gV7MWRSaUtpcmRZdW8/view?usp=sharing', u'https://drive.google.com/open?id=0B5X-Q4T56r3WR3ExTmdPVGd3VDg', u'https://drive.google.com/folderview?id=0B0_3skYiZY1Qc21qSkhYQ3JaZEU&usp=sharing', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7TG1rVWowQWc4bDQ/view?usp=sharing', u'https://drive.google.com/a/asdmobile.org/file/d/0B4LZ8teFSo0fY3d0RnA1LUhJb3VsQUpOanlXeGRwUU1ZYko4/view', u'https://drive.google.com/a/alpinedistrict.org/file/d/0B0_3skYiZY1Qa1R1Z0p1cENUTkU/view', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7MWRSaUtpcmRZdW8/view?usp=sharing', u'https://drive.google.com/open?id=0B5X-Q4T56r3WR3ExTmdPVGd3VDg', u'https://drive.google.com/folderview?id=0B0_3skYiZY1Qc21qSkhYQ3JaZEU&usp=sharing', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7TG1rVWowQWc4bDQ/view?usp=sharing', u'https://drive.google.com/a/asdmobile.org/file/d/0B4LZ8teFSo0fY3d0RnA1LUhJb3VsQUpOanlXeGRwUU1ZYko4/view', u'https://drive.google.com/a/alpinedistrict.org/file/d/0B0_3skYiZY1Qa1R1Z0p1cENUTkU/view', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7M09BYmdDSXc2eDA/view?usp=sharing', u'https://drive.google.com/file/d/0BwIpjtplhJ5XaEZYVl9Tajl5TWs/view?usp=sharing', u'https://docs.google.com/document/d/1vCVxzALHBIq3pauBsrYBjNx_1hkCTXQMWRcp9i0E5Yo/edit?usp=sharing', u'https://docs.google.com/document/d/1dQ8PFFtTlqRlgOBPqBf4bPbSWZIKzX9CUKhfqjg6QVE/edit?usp=sharing', u'https://docs.google.com/document/d/12tjWi2LDoGrBdNbFDmdq5MdgTAlwPB8-puPlh8989CI/edit', u'https://docs.google.com/document/d/1vCVxzALHBIq3pauBsrYBjNx_1hkCTXQMWRcp9i0E5Yo/edit?usp=sharing', u'https://docs.google.com/document/d/1dQ8PFFtTlqRlgOBPqBf4bPbSWZIKzX9CUKhfqjg6QVE/edit?usp=sharing', u'https://docs.google.com/document/d/12tjWi2LDoGrBdNbFDmdq5MdgTAlwPB8-puPlh8989CI/edit', u'http://afhs.alpineschools.org/about-afhs#bottom', u'http://afhs.alpineschools.org/about-afhs#bottom', u'https://drive.google.com/file/d/0BwIpjtplhJ5XaEZYVl9Tajl5TWs/view?usp=sharing', u'https://docs.google.com/document/d/1_s3RxcvBMJKJ82s3bamGVgRP-PVKEWMLy1nQhnDyWC8/edit?usp=sharing', u'https://docs.google.com/document/d/1l0MWQhB-DVtL20s_cQY4rfuQCHFVgFLXEuLytU2rJeI/edit?usp=sharing']",25.0,2.0,27.0
10,2016,ALPINE DISTRICT,AMERICAN FORK HIGH,Mathematics,0.472779369628,"[u'https://afhs.alpineschools.org/school-community-council/', u'http://afhsactivities.weebly.com/']",,American Fork High,high,https://afhs.alpineschools.org/,American Fork,,,"[u'https://drive.google.com/file/d/0B_OM-nZ4_gV7MWRSaUtpcmRZdW8/view?usp=sharing', u'https://drive.google.com/open?id=0B5X-Q4T56r3WR3ExTmdPVGd3VDg', u'https://drive.google.com/folderview?id=0B0_3skYiZY1Qc21qSkhYQ3JaZEU&usp=sharing', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7TG1rVWowQWc4bDQ/view?usp=sharing', u'https://drive.google.com/a/asdmobile.org/file/d/0B4LZ8teFSo0fY3d0RnA1LUhJb3VsQUpOanlXeGRwUU1ZYko4/view', u'https://drive.google.com/a/alpinedistrict.org/file/d/0B0_3skYiZY1Qa1R1Z0p1cENUTkU/view', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7MWRSaUtpcmRZdW8/view?usp=sharing', u'https://drive.google.com/open?id=0B5X-Q4T56r3WR3ExTmdPVGd3VDg', u'https://drive.google.com/folderview?id=0B0_3skYiZY1Qc21qSkhYQ3JaZEU&usp=sharing', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7TG1rVWowQWc4bDQ/view?usp=sharing', u'https://drive.google.com/a/asdmobile.org/file/d/0B4LZ8teFSo0fY3d0RnA1LUhJb3VsQUpOanlXeGRwUU1ZYko4/view', u'https://drive.google.com/a/alpinedistrict.org/file/d/0B0_3skYiZY1Qa1R1Z0p1cENUTkU/view', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7M09BYmdDSXc2eDA/view?usp=sharing', u'https://drive.google.com/file/d/0BwIpjtplhJ5XaEZYVl9Tajl5TWs/view?usp=sharing', u'https://docs.google.com/document/d/1vCVxzALHBIq3pauBsrYBjNx_1hkCTXQMWRcp9i0E5Yo/edit?usp=sharing', u'https://docs.google.com/document/d/1dQ8PFFtTlqRlgOBPqBf4bPbSWZIKzX9CUKhfqjg6QVE/edit?usp=sharing', u'https://docs.google.com/document/d/12tjWi2LDoGrBdNbFDmdq5MdgTAlwPB8-puPlh8989CI/edit', u'https://docs.google.com/document/d/1vCVxzALHBIq3pauBsrYBjNx_1hkCTXQMWRcp9i0E5Yo/edit?usp=sharing', u'https://docs.google.com/document/d/1dQ8PFFtTlqRlgOBPqBf4bPbSWZIKzX9CUKhfqjg6QVE/edit?usp=sharing', u'https://docs.google.com/document/d/12tjWi2LDoGrBdNbFDmdq5MdgTAlwPB8-puPlh8989CI/edit', u'http://afhs.alpineschools.org/about-afhs#bottom', u'http://afhs.alpineschools.org/about-afhs#bottom', u'https://drive.google.com/file/d/0BwIpjtplhJ5XaEZYVl9Tajl5TWs/view?usp=sharing', u'https://docs.google.com/document/d/1_s3RxcvBMJKJ82s3bamGVgRP-PVKEWMLy1nQhnDyWC8/edit?usp=sharing', u'https://docs.google.com/document/d/1l0MWQhB-DVtL20s_cQY4rfuQCHFVgFLXEuLytU2rJeI/edit?usp=sharing']",25.0,2.0,27.0
11,2016,ALPINE DISTRICT,AMERICAN FORK HIGH,Science,0.627906976744,"[u'https://afhs.alpineschools.org/school-community-council/', u'http://afhsactivities.weebly.com/']",,American Fork High,high,https://afhs.alpineschools.org/,American Fork,,,"[u'https://drive.google.com/file/d/0B_OM-nZ4_gV7MWRSaUtpcmRZdW8/view?usp=sharing', u'https://drive.google.com/open?id=0B5X-Q4T56r3WR3ExTmdPVGd3VDg', u'https://drive.google.com/folderview?id=0B0_3skYiZY1Qc21qSkhYQ3JaZEU&usp=sharing', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7TG1rVWowQWc4bDQ/view?usp=sharing', u'https://drive.google.com/a/asdmobile.org/file/d/0B4LZ8teFSo0fY3d0RnA1LUhJb3VsQUpOanlXeGRwUU1ZYko4/view', u'https://drive.google.com/a/alpinedistrict.org/file/d/0B0_3skYiZY1Qa1R1Z0p1cENUTkU/view', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7MWRSaUtpcmRZdW8/view?usp=sharing', u'https://drive.google.com/open?id=0B5X-Q4T56r3WR3ExTmdPVGd3VDg', u'https://drive.google.com/folderview?id=0B0_3skYiZY1Qc21qSkhYQ3JaZEU&usp=sharing', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7TG1rVWowQWc4bDQ/view?usp=sharing', u'https://drive.google.com/a/asdmobile.org/file/d/0B4LZ8teFSo0fY3d0RnA1LUhJb3VsQUpOanlXeGRwUU1ZYko4/view', u'https://drive.google.com/a/alpinedistrict.org/file/d/0B0_3skYiZY1Qa1R1Z0p1cENUTkU/view', u'https://drive.google.com/file/d/0B_OM-nZ4_gV7M09BYmdDSXc2eDA/view?usp=sharing', u'https://drive.google.com/file/d/0BwIpjtplhJ5XaEZYVl9Tajl5TWs/view?usp=sharing', u'https://docs.google.com/document/d/1vCVxzALHBIq3pauBsrYBjNx_1hkCTXQMWRcp9i0E5Yo/edit?usp=sharing', u'https://docs.google.com/document/d/1dQ8PFFtTlqRlgOBPqBf4bPbSWZIKzX9CUKhfqjg6QVE/edit?usp=sharing', u'https://docs.google.com/document/d/12tjWi2LDoGrBdNbFDmdq5MdgTAlwPB8-puPlh8989CI/edit', u'https://docs.google.com/document/d/1vCVxzALHBIq3pauBsrYBjNx_1hkCTXQMWRcp9i0E5Yo/edit?usp=sharing', u'https://docs.google.com/document/d/1dQ8PFFtTlqRlgOBPqBf4bPbSWZIKzX9CUKhfqjg6QVE/edit?usp=sharing', u'https://docs.google.com/document/d/12tjWi2LDoGrBdNbFDmdq5MdgTAlwPB8-puPlh8989CI/edit', u'http://afhs.alpineschools.org/about-afhs#bottom', u'http://afhs.alpineschools.org/about-afhs#bottom', u'https://drive.google.com/file/d/0BwIpjtplhJ5XaEZYVl9Tajl5TWs/view?usp=sharing', u'https://docs.google.com/document/d/1_s3RxcvBMJKJ82s3bamGVgRP-PVKEWMLy1nQhnDyWC8/edit?usp=sharing', u'https://docs.google.com/document/d/1l0MWQhB-DVtL20s_cQY4rfuQCHFVgFLXEuLytU2rJeI/edit?usp=sharing']",25.0,2.0,27.0
12,2016,ALPINE DISTRICT,AMERICAN FORK JR HIGH,English Language Arts,0.495205865764,,,,,,,,,,,,
